    rules	   points	   timeMs	timeNormUs	matchesPercent
        1	     1000	     4763	      476	0.00
        2	     1000	      334	       33	0.00
        3	     1000	      423	       42	0.00
        5	     1000	      381	       38	0.00
        8	     1000	      381	       38	0.00
       13	     1000	      179	       17	0.00
       21	     1000	      134	       13	0.00
       34	     1000	      350	       35	0.00
       55	     1000	      280	       28	0.00
       89	     1000	      374	       37	0.00
      144	     1000	      525	       52	0.00
      233	     1000	      889	       88	0.00
      377	     1000	     1176	      117	0.00
      610	     1000	     1783	      178	0.00
      987	     1000	     2487	      248	0.00
     1597	     1000	     3734	      373	0.00
     2584	     1000	     5944	      594	0.00
     4181	     1000	     8481	      848	0.00
     6765	     1000	    13534	     1353	0.00
    10946	     1000	    22479	     2247	0.00
    17711	     1000	    37343	     3734	0.00
    28657	     1000	    60795	     6079	0.00
    46368	     1000	   104847	    10484	0.00